customer_tweet_id,customer_text,support_tweet_id,support_text,intent,escalation
865900,"@AppleSupport I have a problem with a print product I ordered through Photos for Mac OS, what’s the best point of contact?",865899,"@325617 For support with Photos and Print Products, reach out to an expert here: https://t.co/IBIY3vMgPj",,
768160,@AppleSupport the battery drainage on iOS 11.1 is terrible. Please fix this.,768158,@303462 Let's look into this together. Could you DM us which iPhone you're using and we can begin from there?,,
1074248,I'd really appreciate if my Macbook Pro would stop electrocuting me whilst charging... @115858,1074247,@373458 That is certainly something we'd like to look into. Send us a DM and tell us more about what happened. https://t.co/GDrqU22YpT,,
810176,Ffs constantly my iphone is spasming out or just freezes ...doing my head in @AppleSupport any chance you sort the bugs out and do an update,810175,@313040 We want to pair up and work on this issue with you. DM us and we'll go from there. https://t.co/GDrqU22YpT,,
857948,Please @AppleSupport I really need to stop saying the celebrity borefests and casual sexism of The Sun in my top or trending stories.,857946,@323734 Let's help. Check out: https://t.co/oTuaMqVI3r for ways to control the content from your sources.,,
875948,@115858 ios 11 made my phone bug and now its hella slow!! Sos,875947,@327973 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,,
890577,Dear @115858 please fix the music function in the control center. I’m begging you. @AppleSupport,890576,@331449 We'd be happy to assist today. Send us a DM to get started. https://t.co/GDrqU22YpT,,
926714,Does the iPhone 5 use the same charging cord as an iPhone 8? Does the 8 have an option of whether to go cordless or not for charging? @115858,926713,"@339891 Hi there, our support team in sales will be happy to help. You can contact them here: https://t.co/8yjRd1Xo0i",,
554825,@AppleSupport my 6s constantly freezes/closes out of apps and gives me the dashed spinning white circle. This happens multiple times a day. I’ve done multiple hard resets and no luck. I’m also out of the country so I can’t call the US roll free number,554824,"@249507 Thanks for reaching out. We know how important your iPhone is and we'll do our best to get things taken care of. To get us started, when the apps close out, does the iPhone restart? What is your current iOS version?",,
1512111,A fish in the Mississippi is going to be the proud new owner of an iPhone if you don’t fix this I️ business @115858,1512110,@470956 We know how important it is for your keyboard to work properly. We'd like to assist via DM. https://t.co/GDrqU22YpT,,
770103,#IOS11 Worst IOS ever. My phone works like shit. How can you release this? You are @115858 @AppleSupport,770102,@303895 We'd like to help! Send us a DM with what you are experiencing and we will continue from there. https://t.co/GDrqU22YpT,,
550850,@AppleSupport Of course. I am using an iPhone SE running iOS 11.2 and I am sending SMS text messages.,550852,"@248335 Just to be sure we are on the same page, anytime you try to send an SMS text to yourself, you receive the message? And the same when anyone tries to text you, correct?",,
877396,"@AppleSupport Hi guys, I think the battery in my iPhone 5S is swollen from what I've read online. What do I do?",877395,@328288 We've received your DM's. We will reach out there shortly. https://t.co/GDrqU22YpT,,
1437523,@AppleSupport Don’t u think I must have already done these basic things before reaching out to u guys on social media. Why don’t u fix bugs once for all ?,1437524,@160107 We'd be happy to continue to try to help you. Send us a DM and we can continue there. https://t.co/GDrqU22YpT,,
946692,Y’all wtf Apple wouldn’t let me download a FREE app with out putting in my credit card info or logging into my PayPal and when I did it,946691,@344488 We received your DM and will continue to work there.,,
1053682,#hamradio I'm amused. kc4aaa is having trouble updating his iPad from the south pole. Fix it for him @AppleSupport ? ;),1053681,"@368971 We're here to help. If you or someone you know needs help updating, take a look at this: https://t.co/80YRnjDFDk",,
957788,MacOS'da 3-4 sürümdür cihazı kapatıp açtığımda ses dengesinin ortadan sağ hoparlöre geçtiğini görüyorum. 2 yıldır falan böyle @AppleSupport,957787,@211918 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,
517084,@AppleSupport I have a life proof case and I keep the charger part closed at all times so I don’t think there’s debris in there and my charger worked fine until the update. It started right after I updated which is what I think is weird,517086,"@239221 We understand, and we'll do all we can to help you sort this out. Just to be clear, did you try all of the steps in that article, and your charger still shows that it's unsupported? DM us to let us know. https://t.co/GDrqU2kzhr",,
1682564,@AppleSupport can you plug in an adaptor into an adaptor? ie. a USB to Ethernet into a USB-C Digital AV Multiport?,1682563,"@319257 Hey, we'd like to help you figure out a solution. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",,
1247843,Anyone else finds #iphone8plus is heating a lot after 10mins phone conversations @115858 @AppleSupport,1247842,@261970 We want to make sure your iPhone is running properly.  Please send us a DM so we can take a closer look. https://t.co/GDrqU22YpT,,
545335,"@AppleSupport iPhone is driving me mad this morning, keeps going to black screen with spinning wheel and asking for passcode every few seconds. I see lots of people having same issue, is there a fix?",545333,"@246769  If your device with iOS 11 unexpectedly restarts repeatedly on or after December 2, 2017, this article will walk you through a solution:
https://t.co/Wc5MHFZb0p

Let us know if that resolves the issue for you.",,
1051415,Hey @115858 can you fix whatever bug is with your iOS so I can’t connect a personal hotspot thanks,1051413,"@368466 You've come to the right place. Is the issue with you connecting to a hotspot, or creating one from your device?",,
543708,".@AppleSupport @115858 - how come there isn't already information here about the widely reported ""2nd December"" bug - my phone keeps crashing/re-starting. I'm due an upgrade and so if this isn't fixed soon and fully I'll be choosing @122986 #Pixel2 Poor.........",543707,"@246296 We want your iPhone to function properly for you. Check out this support article, which addresses the issue you're experiencing: https://t.co/Wc5MHFZb0p",,
1582191,Howww tf do I️ get these questions marks off my phone?!!😤 @115858 @AppleSupport,1582190,@487018 We can help. Check out this article for assistance: https://t.co/xU1AGHStV6,,
1592835,@AppleSupport my phone is so broken please help,1592834,"@489569 We're here for you. Tell us a bit about what's going on with it, and we'll partner together on a solution!",,
1232931,@409168 @AppleSupport My shit cuts off every 5 mins,1232930,@394681 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,,
827587,@AppleSupport There needs to be a way to plug in and sync EVERYTHING that's checked like has always worked before.,827591,@317131 Send us a DM. We'll work with you from there. https://t.co/GDrqU22YpT,,
1683482,@115858 fix this I️ problem,1683481,@511707 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,
1332294,"@AppleSupport I’m using iPhone 5s #ios11, while installing appliacation only this showing and nothing get installed. https://t.co/XllzXaCmNr",1332296,@430806 Thank you for the photo. Are you trying to download the app using Wi-Fi or cellular?,,
805677,@AppleSupport my battery should not be dropping 20% every hour if I’m barely using my phone 📱,805674,@311986 That's a big drop for sure. Let's look into what's causing this. What model iPhone and iOS version do you have?,,
1643883,@502397 @115858 Yo Apple I’m getting annoyed with it too,1643882,@502396 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,,
1635751,when is @115858 gonna fix the whole i️ thing that’s going on lmao,1635750,@408721 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,
1143586,@AppleSupport Thank you! I have macOS Sierra,1143588,@389163 Thanks for providing that for us. We'd like to continue working together in DM here: https://t.co/GDrqU22YpT,,
1208432,@AppleSupport Good question: it is a backup. https://t.co/SNO6Li7fxh,1208433,@349219 Let's continue our conversation in DM where we can explore this in further detail. https://t.co/GDrqU22YpT,,
1237622,@AppleSupport the 6,1237621,"@410312 Okay. Please DM us, so that we can take a closer look into this. Thanks. https://t.co/GDrqU22YpT",,
546708,"@AppleSupport I tried this, but unfortunately my Whatsapp messages are all lost...",546710,@247137 Let's get to DM to continue. https://t.co/GDrqU22YpT,,
1544483,@AppleSupport WTF IS THIS https://t.co/3SzoXWsHYH,1544482,@478399 This might help you fix that: https://t.co/xU1AGHStV6 Let us know if it does in DM. https://t.co/GDrqU22YpT,,
1225813,Me ajuda aí @115858 @AppleSupport @118721 https://t.co/o7OAlcw3sm,1225812,"@407571 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",,
511134,@AppleSupport iPhone X constantly going into black screen with spinning icon and heating up. What can I do?,511132,@237476 We want to help with your iPhone X. We know how exciting it is to have a new device and expect it to work as intended. DM us what iOS version you're on and we'll get started. https://t.co/GDrqU22YpT,,
1583773,@487400 @AppleSupport @115858 What the *shit* https://t.co/Cv1ZbR5IDO,1584593,@487399 We're happy to help. Check out https://t.co/xU1AGIa4ME &amp; try the recommended steps. Let us know if you have any questions.,,
1584574,@AppleSupport how do i fix this I️ can’t type i without it changing it to this crap? https://t.co/75xCHht3gA,1584573,@487591 We're happy to help out. Take a look at the workaround steps here: https://t.co/sDSg942Lx2,,
738535,"@AppleSupport I’m not and I actually just checked to see if I could, I have Internet but this says I don’t? https://t.co/yPI527eOgC",738536,@296632 Thanks for the screenshot. We recommend using iTunes to update your device: https://t.co/80YRnjDFDk,,
808229,Hey @AppleSupport can I logout from my email account on my iPad?,808227,"@312579 You should be able to. So we can get the right steps for you, let's pair up in DM to get started. https://t.co/GDrqU22YpT",,
556030,"@115858 @AppleSupport Your OEM Lightning cable, needs to be built better. Its good quality, but it breaks off way to easy at the tip inside the charge port for iOS devices.",556029,@222179 We'd like to offer you support assistance if you are having a current issue with your Lightning cable. DM us at the link below. https://t.co/GDrqU22YpT,,
241467,@173329 @115858 Battery is still draining so fast after two bugs update,857558,@323655 We can help with battery life. Could you Direct Message us so we can get more information? https://t.co/GDrqU22YpT,,
1637815,@AppleSupport iPhone 7+ with 11.0.3 though I am upgrading to an X tonight. I upgraded to the 200 gig plan as I'm going to a larger capacity phone,1637813,"@500883 If you open up the Files app, do you have any data there? Do you use any other devices with iCloud, such as a Mac or iPad?",,
1588816,@AppleSupport @115858 HELP ME ! What should i do?????,1588815,@488585 We're happy to help. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,,
1680736,That question mark box exclamation shit is kissing me off. @115858 fix it please,1680735,@511050 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,
1275535,@AppleSupport Me + two friends are finding asking Watch the weather using Siri is triggering a crash and reboot. Latest WatchOS not beta,1275534,@418584 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,,
307381,@AppleSupport I want to completely turn off wifi on control panel. Is there any setting? It seems I can do so only by setting apps...,363732,@202198 Turning off Wi-Fi in the Control Center disconnects you from the current network that you are using: https://t.co/G7BHuQnDS6,,
1557153,Loving the #iPhoneX not loving that I can’t download nor update apps. @AppleSupport do something.,1557151,@481363 We want you to be able to enjoy your new iPhone X. What happens when you try to download or update? Do you get an error message? Is this the same on both Wi-Fi and cellular?,,
538652,@244884 @AppleSupport I'm onto them now - seems like it's a worldwide issue but can't provide a solution time. Mine is crashing every 5-10 seconds on any app.,538651,@244883 We know how vital it is to have your device working as expected. We'd recommend following the steps in this article to resolve this issue: https://t.co/osZOKKTalm,,
545188,@AppleSupport please explain to me how to access this and why it’s happening. https://t.co/W851WI2aab,545187,@246722 We'd love to help. Are you logged into your user account on the computer?,,
1470883,"@AppleSupport Yep, the article is pretty clear—the functionality I’m missing was removed in watchOS 4. 

I sure wish @115858 would fix this!",1470882,@379507 We wanted to ensure you had the information. We welcome feature feedback here: https://t.co/eTPVYVFyd8,,
1448102,@115858 @AppleSupport ios11 is very buggy. This happens often - the phone is locked but the lock screen loses all display. No time/music https://t.co/yZbv8lsr2z,1448101,@456043 We're here to help. Please DM us which iOS software version you are using and we'll go from there. https://t.co/GDrqU22YpT,,
1595010,@490099 wtf @AppleSupport get it together,1595009,@490098 We'd love to help you with this. Let's follow the steps here: https://t.co/xU1AGHStV6,,
1046624,@170421 @AppleSupport me too. lost all my imessages too.  my icloud backups all deleted too,1046623,@367398 Let's help take a closer look in recovering that content. Please DM us and we can go from there. https://t.co/GDrqU22YpT,,
219653,"this new apple update is horrible, my phones battery life is horrible, siri doesn’t work, and every app is glitching @AppleSupport",219652,@166006 Let's work together to get your device working as it should. Please meet us in DM. https://t.co/GDrqU22YpT,,
1197467,@AppleSupport es normal que desde la última actualización la duración de la batería se haya reducido tanto? Gracias,1197466,@401356 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,
511145,Is the new @AppleSupport @115858 glitch changing the word it to I.T ? Anyone else?,511144,@237479 Happy to help you here. Let's move to DM to assist you further. https://t.co/GDrqU22YpT,,
1616691,Ok @115858... WTF is this? https://t.co/p8DRg3UQjg,1616690,@495769 Thanks for reaching out. Check out this article: https://t.co/xXaXeeSRt9 Did that help?,,
1548817,"@AppleSupport Contacts created on iPhone do not sync to Outlook 2007 on PC as always before. From PC to iPhone, Yes. Vice Versa, No more.",1548814,@479448 Let's check it out. Does iOS 11.1 show in Settings &gt; General &gt; About? How are you syncing contacts?,,
96985,"Apenas salió en nuevo iPhone X y el 7 ya empieza a colgarse, la batería se descarga rápido, etc, siempre lo mismo @AppleSupport",96983,@137167 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,
1234766,"@AppleSupport iphone 6s, the screen just went all pixelated and then shut off. Now it won't start up at all",1234768,@409613 Okay. We're happy to help. Try these steps to get your phone to turn on. Let us know the results. https://t.co/8MvHMFZ83h,,
511160,nice one @AppleSupport . ever since iOS 11 my iPhone has turned into a vegetable and just freezes and turns off every 10-15 mins,511159,@237484 You’re in the right spot and we’ll do everything we can to help you. DM us and let us know what model iPhone you're using. https://t.co/GDrqU22YpT,,
1275096,@AppleSupport iPhone 8 /11.0.3,1275098,@418476 Thank you. How often have you experienced this? Does restarting resolve the issue?,,
41711,"@AppleSupport just upgraded to 11.1, and had 50% battery drain on iPhone 6 during my bike ride to work (1 hour).  This is unacceptable",41710,"@125182 We’d love to help with your battery life. To start, please send us a DM. https://t.co/GDrqU22YpT",,
1541918,@AppleSupport Got it working finally,1541920,@477752 Awesome! Glad to hear that.,,
1660418,@115858 can you get your shit together and quit changing the i ‘s into i️,1660417,@506515 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,,
1572268,@115858 please help my phone is icloud locked help help please,1572266,@484685 Hi. We're happy to do what we can to help. DM us and tell us more about what's happening. https://t.co/GDrqU2kzhr,,
57510,@116333 Question for you please. Why are the iPhone battery start to die when you still have 6 months left in your contract to go,57509,@129049 We want to help. DM us more about your battery and we'll work from there. https://t.co/GDrqU22YpT,,
1082991,"@AppleSupport Hey there,i've got problem w/ my iphone 6 It says searching, even if I remove the simcard
Please help, i use my phone at work",1082990,@375457 We can happily help! Check out the steps here &amp; DM us if this persists after: https://t.co/5KootZbxj1 Thank you!,,
1197469,My year old #IPhone cuts out when the battery gets to 20%. I think it's about time I give up on @AppleSupport and get a decent phone.,1197468,@401357 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,,
546657,@115858 worth £750 billion and still can't sort a fucking phone !! #wheresmysamsung #fuckapple,546656,@247122 We might have a fix for what you're seeing. Did you update to iOS 11.2 yet? We just released it. You can see a guide for how to help with this here: https://t.co/osZOKKTalm,,
622646,"@AppleSupport It started with iOS 11. I have iOS 11.1.2 on my phone. After searching google, it’s a topic on your thread that’s affecting a lot of people",622644,@267783 Thanks for those additional details. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,,
1015293,"@AppleSupport It started happening on iOS 10.3.3, then I updated to 11.0.3 thinking it'd get fixed, but nope, it's still there.",1015295,@360221 Thanks for those details. Please let us know in DM if you're updating your iOS via Wi-Fi or iTunes and we'll sort this out. https://t.co/GDrqU22YpT,,
553466,All 3 @25142 lightning splitters I tried failed immediately. How can @AppleSupport sell defective products like this its stores? #rubbish https://t.co/yd9EpQWAno,553465,@249080 We'd like help. Send us a DM with your current location.  We'll go from there. https://t.co/GDrqU22YpT,,
55119,What can’t @115858 release an iOS without bugs in the software these days. Was Jobs their only QA expert on their team? Messages is broke...,55117,"@128498 We want Messages working for you; we'll do all we can to help. To start, can you describe for us exactly what's happening?",,
60313,Hey @AppleSupport Is the @118936 down?,60312,@121480 It looks like it is currently available: https://t.co/7NVrDovSd8 Are you having issues accessing it? DM us if so. https://t.co/GDrqU22YpT,,
52975,Ayo @AppleSupport - since updating to iOS11 my 7+ almost always dies around the 17/18% battery mark. Any solutions?,52974,@127933 We'd like to take a closer look at your battery issues. DM us and we'll get started. https://t.co/GDrqU22YpT,,
43197,"Apple can I have the option back for auto brightness, would be fab since my battery is atrocious anyway 👍🏻
@AppleSupport @115858",43196,"@125567 Auto-Brightness is still available, it's just moved to Settings &gt; General &gt; Accessibility &gt; Display Accommodations.
Also, if you're having issues with your battery, meet us in DM with some details, tell us which country you're in, and we'll take a look with you. https://t.co/GDrqU22YpT",,
546619,Ow @AppleSupport @115858 I just want to play @115888 @116130 @SpotifyCares not be forced to close Siri cos it makes me choose @115948 :( https://t.co/ZNs6b1NBum,546618,@120500 We'd recommend providing feedback here: https://t.co/eTPVYVFyd8,,
848409,@AppleSupport what's happening to my computer? https://t.co/HoqpCrRejO,848408,@321618 Thanks for reaching out to us. Please send us a DM and we can chat with you there. https://t.co/GDrqU22YpT,,
1531340,Dose anyone know why my iPhone is doing this? @115858 @AppleSupport https://t.co/aNEmQfHeHQ,1531339,@475065 Help is on the way. Send us a DM to get started. https://t.co/GDrqU22YpT,,
41688,@AppleSupport 11.1,41689,"@125176 Thanks. Do you notice this behavior when using specific apps? DM your response, and we’ll meet you there. https://t.co/GDrqU22YpT",,
1096906,Anyone else notice the new @AppleSupport iOS update keeps capitalizing everything in autocorrect? So annoying.,1096905,@378846 We can look into this together. Can you tell us what iOS version you're using? Here's how to find it: https://t.co/ZTw54HL4Rm,,
724021,Getting really sick of the bullshit I’m having to go through just to set up my sisters phone 🙄🙄😡😡 @AppleSupport,724020,@293386 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,,
522099,@115858 your “superior” secure smartphone gets tons of pop ups and spam and your advice is to completely wipe my phone?!  I’m done with iOS. This latest is trash. Couldn’t even type the word “I” for a month.  Checking out that new #Note8  #Android,522098,"@240577 We understand the importance of being able to use your iPhone without unnecessary distractions, and we're here to help. Let's work together in DM where we can learn a bit more about the behavior you're running into, and offer an appropriate solution. https://t.co/GDrqU2kzhr",,
53602,"@128116 @AppleSupport Also, remove the sim and put it back again. But I'm having this issue without updating the OS.",53603,@128117 Let us help you with this. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,,
1672516,@115858 #iOS11 #iPhone6 Status bar is hidden anytime. Can’t open the notifications centre.  Need to restart the device. No other way to fix this. https://t.co/DFmelbLm9p,1672515,"@404509 We're here to help. For further assistance, we'd like to get you to our chat and phone support teams. This link will help you connect with them:  https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT",,
554729,@AppleSupport Is Apple Pay Cash rolled out to everyone with today’s iOS update? I am not seeing anything  after updating.,554727,"@249476 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",,
553449,"@AppleSupport Installed via iTunes and now working. Thanks for replying. Trust me, big fan. But please relay this to your quality control/testing team. I may be in the minority of this problem but there has been slippage in the QC game. Thanks again.",553451,@249075 Great. We're happy it's working now. Please let us know if you come across any other issues. We'd be happy to help.,,
1083001,@115858 Any update with the iPhone X select button grey out issue for Apple update program members in the Apple Store app?,1082998,@375461 We're glad to see you excited about the new iPhone. Purchasing has not opened yet. It will be available for preorder on 10/27.,,
935968,@AppleSupport Unable to update any apps for my Iphone 6 after upgrade to iOs 11.0.3. Please explain?,935967,@341893 We want to help out! Are you getting any errors when trying to update? Have you tried multiple networks?,,
1509992,@AppleSupport hi how do I report a bug in the iOS 11.0.3 Build?,1509991,@322782 We'd love to help in any way we can. What issues are you experiencing? Let us know in DM: https://t.co/GDrqU22YpT,,
522956,"@AppleSupport  every time I type “it” , it turns into “I.T”, fix that",522955,"@240813 Thanks for reaching out! We understand your concern with this issue, and would be happy to look into what's going on. To start, can you DM us which device and software version you're experiencing this issue on? https://t.co/GDrqU2kzhr",,
1520180,@AppleSupport thank you so much! so is my password safe or should I change it just to be safe?,1520182,@472586 You're welcome. Your password is safe but you can change it if you want to. It's completely up to you.,,
39648,My phone will not stop freezing @AppleSupport,39647,"@124676 We're glad to help. To start, what version of iOS are you currently running? Find that in Settings &gt; General &gt; About.",,
1516647,@AppleSupport  Watch on os4 does not change time to reflect local time zone after coming off airplane mode. Phone adjusts. They do connect.,1516644,@471875 We want you to be able to use the Apple Watch when changing time zones. Does it change after it connects to the iPhone?,,
1615474,@115858 fix this. https://t.co/Rbz2XL0Orc,1615473,@495467 Thank you for contacting us for support. We'd like to help out. Let us know if this article helps: https://t.co/sDSg93LaFu,,
56996,@AppleSupport Yes full service on both,56998,@128911 Thanks for letting us know. DM us your exact iOS version. We’ll continue working with you there. https://t.co/GDrqU22YpT,,
735517,@AppleSupport Is it normal that my 6 Months old iPhone SE smells like a mixture of rotten Eggs ans burned wires?Itstartedwhilelayingonmydesk,735516,@295954 Meet us in Direct Message at the link below. We'll grab more details about this issue there. https://t.co/GDrqU2kzhr,,
1284604,I take back last night’s verdict of @115948 working well for me. All I want is to listen to Jessie Ware’s new album @AppleSupport :( https://t.co/CrpWhyuPqx,1284602,@420493 Thank you. We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,,
724193,"@AppleSupport Iphone 7 plus, Unable to update Apps and even can’t download.",724194,@293441 Let's team up on this. Have you tried downloading on Wi-Fi and cellular? Let us know in DM. We'll meet you there. https://t.co/GDrqU22YpT,,
1102627,"@AppleSupport Yes, but it turns back on every time I open the app and wastes my phone memory when I forget to turn it off",1102629,"@142763 Let's try this. In the settings turn on Camera Mode, turn off Live Photo in the Camera app, close the app, and reopen again.",,
58810,"@AppleSupport iPhone 7 jet black, max storage",58812,@129391 What version of iOS are you currently using?  Let us know in DM. https://t.co/GDrqU22YpT,,
1700937,Okay the only I️ hate about my new phone is how suddenly my tweets looks like this when I️ type an uppercase “i” @115858 FIX IT PLZ https://t.co/94REpN0wZq,1700936,@515768 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,,
1083373,@115858 PLEASE release an update to fix your latest update. Everything is glitches &amp; so slow. Driving me INSANE. #dontfixwhatsnotbroken,1083372,@375553 We want to help.  Send us a DM letting us know which country you are located in. https://t.co/GDrqU22YpT,,
1507350,@AppleSupport why does this happen every time I️ try to write a capital i? https://t.co/rgLb2tRf48,1507349,"@469848 We'd like to learn more about this. Meet us in DM with your iOS version &amp; device model, please. We'll go from there. https://t.co/GDrqU22YpT",,
58817,@AppleSupport 11.0.03!,58819,"@129393 We recently released an update. Please back up and update. Once complete, test &amp; report back. https://t.co/ahjigcvFRG",,
823512,@AppleSupport I’ve tried that before. They aren’t coming up on my Find My iPhone app. And I followed all directions.,823514,@316169 Thank you for letting us know! Send us a DM to look into this further. https://t.co/GDrqU22YpT,,
682019,@115858 can you PUH lease fix these I️t boxes,682018,@282761 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,,
675439,Bro this dumb upgrade is making my phone tweak. @115858 I’m buying the X. Give me a break,675438,@238975 We want to help out. Can you tell us a little more detail on what's happening?,,
59230,"@AppleSupport This happened to me once before, and decided to record it when it happened again. MacBook Air 13' Early 2015 https://t.co/fu0kIo2K8t",59229,@129498 Thanks for the video. This is very helpful. We want you to be able to use your menu items. Let's see what we can do to get you a resolution. Does restarting your Mac help? What MacOS are you running? Let us know in DM. https://t.co/GDrqU22YpT,,
851776,Nieuwe #iphone 7 gevonden. Met account(afgeschermd) en zoek mijn iphone staat aan. Na maanden nog geen bericht. Tips? #apple @58389 @2446 @AppleSupport,851775,@322333 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,
1699898,@115858 ... how long we gonna let this I️ shit go on for?,1699897,@515508 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,
1451553,"@AppleSupport for iOS 11, does the screen brightness constantly change itself on its own? Is there no way to lock it permanently?",1451552,@155296 Have you checked for Auto-Brightness in Settings &gt; General &gt; Accessibility &gt; Display Accommodations? Is that switch turned on?,,
1271118,"@115858 @115948 @AppleSupport My Apple Music isn’t working, it’s as if I have not subscribed. I already currently have a subscription.",1271117,"@417605 We've received your DM, and we'll continue with you there. Be on the lookout for a reply.",,
1693481,@AppleSupport @116333 seriously. Golf clap for the amazing new txt replacement feature. And better yet... NO fix from apple! //endsarcasm,1693479,@511271 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,,
41692,@AppleSupport Pero aún hay que arreglar la lentitud del teclado cuando está el móvil en sonido,41690,@125177 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,
1451845,"@AppleSupport well the new update is not letting me facetime, my friends and I'm getting really mad",1451847,@456919 DM us using the link below and let us know what happens when you try to use FaceTime. https://t.co/GDrqU22YpT,,
53614,"@AppleSupport Sorry, the problem is in 11.1, not 11.0.",53616,"@128120 Thanks for clarifying! Meet us in DM with the country you're in, and we'll go over your support options there. https://t.co/GDrqU22YpT",,
1616685,.@AppleSupport why’s my keyboard messed up yo,1616684,@495767 Thanks for reaching out! Which device is this happening on? Let us know in DM. https://t.co/GDrqU22YpT,,
1078301,@AppleSupport I’ve tried everything I’m taking it to the Apple store tomorrow to see if they can fix it,1078302,@374376 Sounds like a great plan. Be sure to set up an appointment beforehand. Use this link to do so: https://t.co/PruGCHO1ib,,
1453840,@AppleSupport iPhone 7,1453842,@457394 Thank you. Which version of iOS is currently installed? This is located in Settings &gt; General &gt; About &gt; Version.,,
